Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Bush - Speech72 - Edited.txt,1,2252,46.29,65.38,48.25,79.88,17.19,16.16,90.14,60.75,17.36,9.28,3.73,2.98,0.89,0.75,0.93,8.08,7.10,14.52,11.90,5.95,6.39,2.26,19.76,2.80,1.51,1.91,0.75,3.06,4.71,3.73,0.75,0.27,0.18,0.18,10.17,0.00,0.13,0.04,0.71,14.92,3.77,1.95,2.09,3.91,1.55,4.09,2.00,0.53,1.07,0.40,0.75,0.09,0.18,0.00,0.49,9.24,3.73,1.29,1.95,1.64,0.84,3.55,13.54,2.26,11.99,2.40,7.06,2.66,2.31,0.36,0.53,0.04,0.00,0.18,0.80,0.00,0.04,0.58,0.18,0.00,17.14,6.35,5.46,0.09,0.04,0.09,0.00,1.33,0.09,3.42,0.00,0.27
Bush - Speech8 - edited.txt,1,2549,36.41,52.82,77.14,72.09,12.56,14.67,91.96,60.14,18.60,10.08,5.34,1.80,1.33,0.90,0.71,8.51,7.26,13.50,12.36,6.75,6.51,2.35,22.17,3.81,1.61,1.65,1.18,2.31,4.83,3.57,1.10,0.24,0.31,0.08,9.30,0.12,0.24,0.39,1.02,14.01,3.53,1.65,1.45,2.90,1.61,3.96,2.04,0.75,0.67,0.63,0.90,0.35,0.31,0.04,0.27,8.04,2.20,1.10,2.67,2.08,0.63,5.06,13.46,2.12,14.99,2.59,7.89,4.75,2.59,0.90,0.47,0.39,0.04,0.00,0.94,0.08,0.08,0.24,0.55,0.00,22.91,7.10,6.67,0.08,0.12,0.82,0.04,2.39,0.24,5.45,0.00,0.00
Bush - Speech11 - Edited.txt,1,2230,25.27,52.69,50.51,80.91,16.64,17.26,89.55,60.63,19.64,10.13,5.29,2.51,0.81,0.58,0.94,9.46,5.25,12.56,12.33,5.78,7.80,2.51,21.30,3.18,1.61,1.66,1.08,2.42,4.53,3.72,0.67,0.04,0.09,0.18,9.01,0.00,0.18,0.00,0.63,15.29,3.86,1.61,2.83,3.59,1.66,3.86,2.24,0.85,1.12,0.27,0.45,0.27,0.04,0.00,0.13,9.37,4.26,1.39,2.78,1.66,0.36,4.62,13.50,2.20,11.48,2.24,6.50,3.14,2.33,0.13,0.18,0.36,0.09,0.00,1.03,0.00,0.00,0.40,0.54,0.09,19.01,5.56,6.95,0.13,0.22,0.54,0.00,1.70,0.18,3.63,0.00,0.09
Bush - Speech44 - Edited.txt,1,4065,34.20,60.30,40.50,71.90,13.83,16.11,90.90,60.86,19.53,10.63,4.99,2.36,0.98,1.28,1.01,8.91,6.59,13.63,12.03,5.41,7.45,2.44,21.55,2.78,1.28,1.33,0.62,2.56,4.92,3.64,1.18,0.27,0.32,0.20,10.73,0.15,0.00,0.44,0.96,14.15,3.22,1.18,2.61,3.71,1.35,3.96,2.58,1.11,0.89,0.49,0.47,0.12,0.15,0.07,0.15,8.98,3.32,1.38,2.31,1.97,0.57,3.62,15.20,1.89,11.27,2.41,6.86,2.78,2.68,0.25,0.25,0.49,0.07,0.10,0.47,0.07,0.00,0.27,0.10,0.00,19.61,7.13,5.29,0.15,0.17,0.42,0.02,1.16,0.05,5.07,0.00,0.15
Bush - Speech119 - Edited.txt,1,5109,47.84,59.67,58.40,59.11,14.43,16.81,90.90,58.74,17.91,9.69,4.85,2.66,1.19,0.18,0.80,8.22,7.57,14.35,11.45,5.25,6.91,2.11,21.22,3.09,1.43,1.62,1.55,2.54,4.42,3.05,1.29,0.18,0.31,0.31,9.34,0.04,0.00,0.02,0.27,13.09,3.39,1.43,1.96,3.01,1.43,3.72,2.07,1.08,0.55,0.45,0.55,0.14,0.33,0.06,0.08,11.08,3.33,2.11,3.70,2.27,0.63,3.09,15.03,1.72,12.45,2.21,7.16,3.41,4.35,0.22,0.35,1.45,0.02,0.00,0.84,0.06,0.02,0.35,0.39,0.00,19.55,6.81,5.91,0.02,0.10,0.23,0.00,0.65,0.39,5.13,0.00,0.31
Bush - Speech16 - Edited.txt,1,3539,39.90,67.33,59.26,56.17,16.85,16.59,89.63,60.02,17.43,8.93,3.70,2.49,1.44,0.76,0.54,8.51,7.06,13.53,10.60,6.53,8.25,2.32,19.13,4.04,2.26,2.03,0.73,2.83,4.07,2.83,1.22,0.20,0.34,0.17,10.45,0.00,0.06,0.00,0.90,13.59,3.76,1.44,1.70,3.11,1.38,3.84,1.89,0.82,0.76,0.25,0.45,0.17,0.08,0.03,0.20,8.79,3.90,1.41,1.92,1.53,0.82,4.94,11.84,1.70,13.56,2.63,7.88,3.22,2.29,0.14,0.40,1.24,0.03,0.06,0.79,0.03,0.00,0.20,0.54,0.03,18.85,6.05,6.05,0.14,0.17,0.23,0.03,2.18,0.23,3.73,0.00,0.06
Bush - Speech43 - Edited.txt,1,987,57.41,54.44,59.15,56.38,15.92,18.64,84.80,57.65,15.40,9.93,5.57,2.63,0.81,0.51,0.41,5.47,6.79,14.79,9.93,5.47,6.48,2.63,17.73,1.93,1.22,1.62,0.71,2.23,3.75,2.53,0.91,0.30,0.00,0.10,9.42,0.00,0.10,0.10,0.41,11.85,3.85,0.81,1.52,2.74,1.32,3.55,2.74,1.01,1.32,0.41,0.41,0.20,0.00,0.00,0.20,10.33,4.36,1.62,2.74,1.32,0.71,3.14,12.06,1.72,11.45,1.22,7.60,2.94,1.52,0.20,0.30,0.00,0.30,0.00,0.61,0.00,0.00,0.51,0.10,0.00,15.50,6.79,4.66,0.20,0.00,0.20,0.00,1.32,0.00,2.13,0.00,0.20
Bush - Speech56 - Edited.txt,1,2323,39.28,58.01,61.63,41.33,15.18,18.17,89.50,58.76,17.35,9.60,5.04,2.11,0.82,0.52,1.12,7.75,6.72,13.22,12.18,5.68,6.93,2.54,20.45,3.36,2.45,1.42,0.47,2.45,4.69,2.63,1.76,0.39,0.99,0.30,10.63,0.13,0.30,0.00,0.69,14.16,3.49,1.51,1.89,3.23,2.20,3.75,2.11,0.56,0.99,0.39,0.60,0.30,0.13,0.17,0.17,8.35,3.19,1.29,3.19,1.29,0.52,3.14,14.42,2.24,12.91,2.32,7.96,2.97,1.72,0.30,0.43,0.13,0.13,0.04,1.08,0.22,0.17,0.60,0.09,0.00,18.38,6.67,5.25,0.30,0.52,0.30,0.00,0.73,0.09,4.26,0.00,0.26
Bush - Speech51 - Edited.txt,1,3233,54.00,60.38,45.30,53.69,17.86,16.46,87.81,59.11,17.41,9.99,4.45,2.10,0.77,1.14,1.52,7.42,7.49,15.03,10.89,4.95,6.77,2.04,19.67,3.40,2.01,1.21,0.68,1.89,4.83,3.15,1.67,0.59,0.65,0.12,9.74,0.00,0.12,0.00,1.27,14.51,3.46,2.23,2.47,2.81,1.45,3.50,2.85,1.48,0.90,0.40,0.71,0.43,0.19,0.00,0.09,8.66,3.31,1.21,2.88,1.45,0.90,3.43,13.61,1.73,12.50,2.72,7.95,2.88,1.58,0.12,0.09,0.49,0.06,0.15,0.65,0.00,0.00,0.25,0.37,0.03,16.21,6.03,5.07,0.15,0.06,0.19,0.00,0.96,0.00,3.40,0.00,0.34
Bush - Speech106 - Edited.txt,1,4587,41.50,75.19,53.30,89.95,14.16,16.79,90.80,60.54,18.57,10.16,4.29,3.03,1.29,0.46,1.09,8.42,6.74,14.32,11.66,6.00,6.89,1.90,20.82,3.47,1.46,1.90,1.13,2.35,5.54,4.67,0.81,0.11,0.15,0.22,11.31,0.02,0.26,0.00,0.68,11.99,3.68,1.31,1.79,2.40,1.48,2.64,1.94,0.94,0.59,0.44,0.35,0.09,0.09,0.00,0.15,8.85,3.82,1.66,2.11,1.48,0.39,2.88,15.00,2.86,13.12,2.49,7.52,3.75,2.53,0.37,0.20,0.83,0.31,0.02,0.78,0.00,0.00,0.24,0.50,0.04,18.03,6.98,6.34,0.15,0.09,0.33,0.00,0.50,0.09,3.55,0.00,0.00
