Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Bush - Speech122 - Edited.txt,1,4439,44.05,59.25,68.96,69.91,13.29,16.63,90.22,57.76,19.37,11.22,6.06,2.21,1.42,0.77,0.77,8.15,7.28,13.25,11.42,4.66,6.01,2.10,22.91,3.22,1.85,1.51,1.10,1.98,5.16,3.69,1.35,0.23,0.54,0.20,10.25,0.11,0.11,0.05,0.88,12.64,3.33,1.67,1.78,3.06,1.19,3.38,2.43,1.04,0.97,0.38,0.29,0.05,0.16,0.05,0.02,10.93,3.40,2.16,3.65,2.52,0.63,4.26,15.75,2.66,13.74,3.42,7.64,3.00,3.45,0.36,0.38,1.46,0.07,0.14,0.59,0.00,0.02,0.16,0.25,0.02,20.97,7.10,6.15,0.18,0.18,0.52,0.00,0.59,0.95,5.14,0.00,0.18
Bush - Speech95 - Edited.txt,1,3301,45.48,66.97,59.73,73.31,17.65,16.69,91.09,59.98,17.93,9.48,3.79,2.82,1.12,0.58,1.18,8.45,7.18,15.03,11.75,5.91,7.27,1.88,20.60,3.42,1.79,2.18,0.91,2.79,5.00,3.70,1.15,0.03,0.30,0.00,9.82,0.06,0.18,0.00,0.58,14.75,3.64,1.88,1.76,3.45,2.03,3.70,2.42,1.12,0.88,0.39,0.73,0.33,0.39,0.06,0.06,10.00,4.48,1.30,2.18,1.91,0.82,3.82,14.60,2.39,13.69,1.91,8.09,3.94,2.00,0.33,0.21,0.55,0.06,0.00,0.48,0.00,0.00,0.12,0.36,0.00,17.63,5.57,5.73,0.18,0.15,0.15,0.00,0.48,0.24,5.03,0.00,0.09
Bush - Speech130 - Edited.txt,1,1576,34.68,53.81,50.44,74.25,15.60,17.32,90.29,61.74,18.53,9.52,4.63,1.97,0.89,1.27,0.76,9.01,6.54,14.28,12.82,6.85,6.98,2.09,22.46,3.11,1.14,2.22,0.44,2.54,5.14,3.87,1.27,0.19,0.38,0.06,8.57,0.13,0.00,0.06,1.40,15.86,3.62,2.03,1.21,4.38,2.47,3.74,1.33,0.44,0.70,0.19,0.32,0.00,0.25,0.00,0.06,9.96,2.41,2.03,3.87,2.09,0.70,3.11,15.80,3.11,11.55,2.54,5.84,3.36,2.73,0.25,0.13,0.25,0.13,0.13,0.95,0.00,0.13,0.25,0.51,0.00,17.89,6.60,5.27,0.00,0.19,0.00,0.00,0.57,0.00,5.14,0.00,0.13
Bush - Speech92 - Edited.txt,1,2750,35.90,64.75,34.78,64.38,16.47,16.44,89.60,60.73,18.40,10.87,3.96,1.42,1.20,2.69,1.60,7.53,6.73,13.31,12.62,5.71,7.27,2.04,21.67,3.02,1.89,1.78,0.76,2.33,4.84,3.38,1.35,0.22,0.40,0.18,10.95,0.00,0.07,0.00,2.76,15.20,3.49,1.78,2.18,3.24,2.25,3.78,2.69,1.24,0.91,0.47,0.47,0.11,0.15,0.00,0.25,7.96,1.85,1.67,3.16,1.49,0.73,4.73,14.25,2.15,12.29,1.96,7.45,3.45,1.38,0.11,0.07,0.33,0.18,0.00,0.76,0.00,0.00,0.29,0.44,0.04,18.25,6.47,7.35,0.18,0.11,0.18,0.00,0.62,0.29,3.05,0.00,0.00
Bush - Speech38 - Edited.txt,1,3685,37.16,51.09,72.94,61.80,14.34,16.82,90.39,60.68,18.78,10.99,5.94,2.52,1.28,0.62,0.62,7.79,6.87,14.08,11.18,6.32,7.44,2.77,21.76,3.34,1.68,1.63,0.71,2.23,4.53,3.04,1.14,0.03,0.30,0.19,9.34,0.03,0.05,0.03,0.76,14.71,4.10,1.25,2.01,3.28,1.14,4.15,1.76,0.71,0.62,0.38,0.43,0.22,0.05,0.00,0.16,9.20,3.20,1.36,2.66,1.93,0.60,3.34,15.96,2.20,13.11,2.55,7.65,3.23,2.63,0.38,0.11,0.79,0.05,0.03,0.71,0.00,0.00,0.33,0.33,0.00,20.62,6.49,5.92,0.33,0.19,0.65,0.03,1.55,0.05,5.26,0.00,0.16
Bush - Speech3 - Edited.txt,1,2192,36.39,44.93,56.25,44.11,15.01,15.65,90.01,61.68,18.89,9.99,6.07,1.87,0.68,0.91,0.46,8.90,6.84,14.32,12.32,5.84,7.62,2.33,21.58,2.92,1.82,1.46,0.68,2.33,4.29,2.51,1.51,0.27,0.50,0.32,7.71,0.00,0.05,0.00,1.09,13.55,3.33,1.23,1.60,3.47,1.96,3.15,2.51,1.19,0.87,0.46,0.41,0.18,0.18,0.00,0.09,8.44,2.19,0.96,3.60,1.37,0.68,3.83,14.92,2.10,11.91,2.42,7.53,2.28,3.19,0.27,0.18,0.59,0.09,0.09,0.59,0.00,0.09,0.23,0.32,0.00,18.66,6.52,5.20,0.14,0.32,0.32,0.00,1.32,0.00,4.74,0.00,0.09
Bush - Speech4 - Edited.txt,1,1210,17.92,24.88,85.21,85.19,15.12,15.29,93.06,62.40,21.16,11.74,8.51,0.66,0.25,1.24,1.07,9.42,5.54,12.89,13.80,5.62,8.26,3.39,23.06,3.80,2.15,2.64,0.50,1.82,6.12,4.71,1.32,0.17,0.17,0.08,8.43,0.08,0.00,0.00,1.32,14.38,4.05,1.65,1.57,2.73,1.49,4.21,2.15,0.99,0.50,0.66,0.58,0.08,0.25,0.00,0.25,8.68,1.24,1.49,4.46,1.65,0.91,2.73,17.19,3.64,13.31,2.31,7.77,4.30,2.64,0.41,0.00,0.08,0.00,0.00,0.58,0.00,0.00,0.08,0.50,0.00,20.17,6.28,5.45,0.08,0.33,0.33,0.08,0.99,0.33,6.12,0.00,0.17
Bush - Speech112 - Edited.txt,1,1467,42.15,67.84,58.07,84.62,14.82,16.77,92.43,59.37,18.61,10.57,5.18,3.82,0.75,0.20,0.61,8.04,7.91,13.02,12.47,5.32,6.88,1.36,22.97,4.64,1.57,1.91,0.82,2.32,6.07,4.64,1.30,0.27,0.48,0.20,9.61,0.00,0.00,0.00,0.20,12.95,3.54,1.30,1.30,3.00,2.04,3.00,2.66,1.70,0.27,0.61,0.68,0.27,0.27,0.00,0.14,13.91,4.70,2.93,5.45,3.14,0.41,3.89,15.54,3.41,12.00,2.18,7.29,3.00,3.89,0.14,0.20,0.82,0.07,0.00,0.68,0.00,0.00,0.34,0.20,0.00,19.22,6.75,5.86,0.00,0.07,0.14,0.00,0.48,0.27,5.52,0.00,0.14
Bush - Speech115 - Edited.txt,1,2135,49.10,72.55,37.34,82.71,15.04,17.80,91.33,59.02,17.38,9.46,4.17,3.33,1.31,0.33,0.33,7.92,7.35,13.82,10.91,5.53,6.65,1.97,19.86,3.93,1.92,1.22,1.59,2.76,5.20,4.17,0.98,0.14,0.09,0.28,11.01,0.05,0.09,0.05,0.52,14.10,3.51,1.69,2.15,3.84,1.26,3.51,1.73,0.23,0.98,0.47,0.33,0.00,0.19,0.00,0.14,11.33,4.26,2.44,3.75,1.59,0.42,3.33,13.96,2.34,10.35,1.59,6.28,2.76,3.61,0.19,0.28,1.55,0.19,0.00,0.75,0.00,0.00,0.33,0.37,0.05,17.28,6.23,5.34,0.09,0.19,0.47,0.00,1.12,0.28,3.51,0.00,0.05
Bush - Speech48 - Edited.txt,1,1941,35.44,48.56,63.57,84.11,16.59,16.95,90.88,60.59,18.50,10.05,5.82,1.91,1.65,0.21,0.46,8.45,6.75,13.65,12.31,6.49,6.85,2.42,20.61,3.30,1.65,1.34,1.29,3.09,5.92,4.43,1.13,0.21,0.26,0.15,8.50,0.31,0.00,0.00,0.21,14.99,3.50,1.44,2.42,3.09,1.96,4.17,1.44,0.46,0.77,0.10,0.21,0.05,0.15,0.00,0.00,9.02,2.89,1.44,2.83,1.96,0.57,3.30,14.68,1.55,12.21,1.70,7.68,3.04,3.09,0.36,0.46,0.82,0.00,0.00,0.41,0.00,0.10,0.26,0.15,0.00,17.00,6.03,5.31,0.21,0.05,0.05,0.00,0.93,0.00,4.07,0.00,0.36
Bush - Speech100 - Edited.txt,1,1353,51.57,83.54,66.19,86.15,15.73,20.92,89.06,58.54,17.89,10.57,3.84,3.84,1.48,0.89,0.52,7.32,6.36,14.63,9.76,5.69,6.73,1.33,17.96,3.70,2.37,1.85,0.96,2.29,3.77,3.62,0.15,0.00,0.00,0.07,12.86,0.00,0.30,0.00,0.89,12.71,3.70,1.11,1.18,3.03,2.00,3.25,1.48,0.44,0.67,0.22,0.37,0.07,0.07,0.00,0.22,9.61,4.95,1.18,2.73,0.89,0.15,3.62,13.16,1.48,14.78,2.59,8.72,4.36,3.25,0.30,0.22,0.59,0.00,0.00,0.44,0.00,0.00,0.22,0.22,0.00,16.63,6.87,5.91,0.00,0.15,0.44,0.00,0.44,0.15,2.66,0.00,0.00
Bush - Speech131 - Edited.txt,1,1940,32.73,44.68,68.65,44.66,13.96,18.09,89.90,58.14,17.89,9.85,5.10,2.22,1.13,0.41,0.98,8.04,5.88,12.84,11.91,5.62,7.06,3.45,22.84,5.36,2.01,1.29,0.77,2.06,4.95,2.89,1.86,0.26,0.67,0.21,8.87,0.00,0.00,0.31,0.21,17.11,4.48,2.53,2.73,2.84,1.80,5.00,1.65,0.52,0.82,0.26,0.67,0.31,0.36,0.00,0.05,10.05,2.89,2.01,3.09,1.70,1.03,3.56,16.03,2.06,12.47,2.37,7.06,3.45,2.78,0.15,0.05,0.31,0.05,0.31,0.57,0.00,0.05,0.21,0.26,0.00,19.64,7.32,5.93,0.00,0.21,0.10,0.00,0.57,0.21,5.10,0.00,0.21
Bush - Speech39 - Edited.txt,1,2156,51.68,51.67,48.84,79.78,14.37,17.63,87.29,59.74,17.12,10.34,5.66,1.81,0.65,1.07,1.16,6.77,7.84,14.66,11.32,5.06,7.00,2.37,19.85,3.20,1.58,1.30,0.97,1.95,4.68,3.80,0.83,0.14,0.14,0.14,9.18,0.09,0.09,0.28,0.83,14.47,3.99,2.37,2.50,2.55,1.02,3.20,1.53,0.88,0.32,0.23,0.65,0.19,0.14,0.00,0.28,7.61,2.78,0.93,2.92,0.88,0.56,2.60,14.66,1.81,11.55,1.99,7.14,2.60,1.86,0.42,0.19,0.19,0.14,0.09,0.70,0.00,0.00,0.09,0.60,0.00,17.76,7.10,5.19,0.14,0.23,0.23,0.00,1.53,0.00,3.25,0.00,0.09
Bush - Speech93 - Edited.txt,1,2333,47.28,74.27,51.73,79.04,15.25,15.65,90.23,59.84,18.00,9.22,3.26,3.47,0.99,0.39,1.11,8.79,7.07,15.43,11.40,6.22,7.03,1.76,21.52,3.73,2.23,2.44,0.81,3.43,4.11,3.51,0.60,0.21,0.21,0.04,10.89,0.00,0.09,0.04,0.64,13.67,3.47,1.63,1.97,2.79,1.59,3.73,2.06,0.86,0.77,0.34,0.60,0.26,0.09,0.09,0.26,8.66,4.50,0.86,2.06,1.59,0.30,3.60,15.17,2.19,13.16,2.91,7.37,3.56,1.46,0.21,0.04,0.56,0.34,0.13,0.56,0.09,0.00,0.30,0.09,0.00,20.10,6.30,5.87,0.21,0.21,0.26,0.00,1.16,0.26,5.79,0.00,0.04
Bush - Speech94 - Edited.txt,1,2132,36.84,70.21,55.36,55.85,15.91,16.32,91.42,58.58,18.01,8.63,2.86,3.14,0.94,0.75,0.94,9.33,6.29,13.56,10.88,6.61,8.21,1.78,21.76,3.80,1.64,2.16,0.80,3.19,5.02,3.28,1.69,0.33,0.38,0.05,9.99,0.00,0.09,0.00,0.80,15.38,3.14,1.83,1.97,3.80,2.49,4.13,2.25,0.80,1.31,0.14,0.33,0.05,0.14,0.00,0.14,9.29,3.71,0.80,2.72,1.78,0.84,4.22,14.59,2.35,14.40,3.14,7.22,4.32,1.88,0.28,0.09,1.08,0.28,0.05,0.66,0.00,0.19,0.19,0.28,0.00,18.67,6.43,6.57,0.09,0.14,0.14,0.00,0.70,0.28,4.32,0.00,0.00
Bush - Speech81 - Edited.txt,1,5589,31.82,53.44,54.20,72.65,16.25,14.40,91.09,61.32,20.47,11.47,5.55,2.18,1.13,2.13,0.48,9.00,6.26,13.74,11.33,5.14,7.93,2.72,20.72,3.58,2.16,1.49,1.09,2.34,5.05,3.70,1.20,0.11,0.45,0.14,10.63,0.25,0.07,0.18,2.31,14.90,3.54,1.20,2.20,3.36,1.56,4.76,2.50,1.25,0.79,0.36,0.55,0.21,0.16,0.04,0.14,8.95,2.95,1.31,3.33,1.90,0.50,4.51,13.85,1.86,12.11,2.00,7.51,3.01,2.11,0.38,0.36,0.52,0.09,0.05,0.89,0.05,0.00,0.30,0.47,0.02,19.13,6.10,6.78,0.16,0.29,0.25,0.00,0.45,0.29,4.78,0.00,0.04
Bush - Speech123 - Edited.txt,1,2223,41.21,50.72,67.66,42.07,15.12,16.51,90.19,59.65,17.81,9.54,4.81,2.43,0.76,1.08,0.45,8.28,7.11,13.86,12.10,5.13,7.02,2.97,21.64,3.87,2.11,1.98,1.35,2.29,4.41,2.52,1.62,0.22,0.27,0.31,9.40,0.18,0.04,0.09,1.12,14.17,3.28,1.12,1.89,3.55,1.39,4.63,2.47,0.90,1.12,0.40,0.31,0.27,0.04,0.00,0.00,10.08,3.24,2.07,3.42,2.02,0.67,4.59,13.68,2.29,13.99,3.01,8.10,3.33,2.61,0.18,0.31,0.36,0.36,0.13,0.36,0.00,0.09,0.13,0.18,0.00,17.81,6.66,5.71,0.09,0.54,0.09,0.00,0.40,0.09,4.09,0.00,0.13
Bush - Speech79 - Edited.txt,1,491,54.55,66.56,57.92,36.52,13.27,15.89,87.58,57.84,17.52,10.18,4.89,2.85,0.81,0.20,1.43,7.33,6.52,15.27,10.79,4.89,6.11,1.83,19.96,3.67,2.04,1.83,0.81,2.44,5.09,2.65,2.04,0.00,1.02,0.81,9.37,0.20,0.00,0.00,0.41,11.20,3.67,0.81,1.83,2.04,2.44,2.04,2.24,0.81,0.81,0.20,0.41,0.00,0.00,0.20,0.20,10.18,4.28,1.83,3.05,1.63,0.00,4.68,11.20,1.22,13.65,2.04,8.55,3.46,2.04,0.41,0.20,0.81,0.00,0.20,0.81,0.00,0.00,0.81,0.00,0.00,17.31,7.94,4.48,0.20,0.00,0.41,0.00,0.20,0.00,4.07,0.00,0.00
Bush - Speech86 - Edited.txt,1,3705,29.93,67.38,52.87,69.52,16.18,16.55,89.37,59.57,19.97,11.09,3.70,3.24,0.84,1.70,1.62,8.88,5.72,13.41,11.66,5.86,7.99,1.97,21.59,4.13,1.86,2.00,0.67,2.46,4.72,3.48,1.16,0.22,0.13,0.08,10.93,0.00,0.08,0.00,1.78,16.22,3.94,1.86,2.08,3.02,1.78,4.83,1.86,0.92,0.54,0.51,0.62,0.40,0.03,0.00,0.19,10.61,4.29,1.59,2.73,1.92,0.84,6.15,13.12,1.70,12.74,2.29,7.37,3.43,2.54,0.13,0.22,1.21,0.03,0.05,0.73,0.00,0.00,0.24,0.46,0.00,18.62,6.23,5.45,0.03,0.11,0.16,0.00,1.92,0.11,4.56,0.00,0.05
Bush - Speech124 - Edited.txt,1,3165,51.18,62.52,51.55,76.08,15.36,18.17,88.82,57.16,17.57,9.73,4.68,2.81,0.73,0.76,0.76,7.84,7.46,13.52,10.68,5.12,6.16,1.99,19.81,4.49,1.93,1.58,1.14,2.62,5.02,3.82,1.11,0.19,0.57,0.16,9.76,0.06,0.06,0.03,0.79,12.64,3.48,1.61,1.48,2.53,1.64,3.38,2.02,0.60,0.98,0.41,0.38,0.06,0.09,0.03,0.09,10.96,3.41,2.34,4.23,2.15,0.32,4.49,13.68,1.83,11.94,2.37,7.08,3.32,3.79,0.19,0.28,1.23,0.06,0.06,1.01,0.06,0.00,0.44,0.51,0.00,17.44,6.76,5.69,0.06,0.19,0.09,0.00,0.66,0.00,3.92,0.00,0.06
Reagan - Speech19 - Edited.txt,1,3447,37.57,74.13,43.68,49.53,21.28,16.80,89.73,62.55,18.65,9.02,2.81,3.28,0.70,0.12,2.12,9.60,6.53,14.48,11.17,6.76,7.40,2.41,19.29,2.67,1.62,1.91,1.39,2.00,3.92,2.58,1.31,0.32,0.55,0.09,10.79,0.09,0.26,0.20,0.20,13.75,3.34,1.54,2.44,4.00,1.60,3.08,1.13,0.38,0.35,0.29,0.46,0.06,0.32,0.03,0.09,10.07,4.44,1.48,3.16,0.99,0.52,4.09,12.91,1.74,13.37,2.09,7.72,3.66,2.15,0.15,0.20,0.64,0.03,0.26,0.73,0.00,0.00,0.15,0.58,0.00,14.39,4.35,5.83,0.03,0.09,0.38,0.00,0.38,0.12,3.10,0.00,0.12
Reagan - Speech3 - Edited.txt,1,3447,52.25,58.60,57.88,34.32,21.02,17.09,90.28,60.57,17.46,8.73,3.92,2.12,1.07,0.26,1.36,8.73,7.95,14.51,10.79,5.31,6.73,2.32,19.00,3.54,2.00,1.86,1.89,1.94,4.29,2.38,1.89,0.29,0.93,0.20,8.65,0.03,0.15,0.09,0.41,13.05,3.51,2.41,1.57,2.44,1.31,3.42,1.91,0.81,0.81,0.23,0.55,0.23,0.32,0.00,0.00,8.88,3.22,1.62,3.45,0.73,0.55,4.03,12.59,1.45,13.17,2.26,7.02,4.00,3.05,0.09,0.38,1.25,0.00,0.09,0.58,0.00,0.03,0.06,0.49,0.00,13.87,4.67,5.51,0.00,0.00,0.20,0.00,0.52,0.12,2.70,0.00,0.15
Reagan - Speech4 - Edited.txt,1,3014,57.02,64.38,47.36,49.88,23.92,17.32,89.68,59.65,16.49,8.36,3.28,2.49,0.63,0.50,1.46,8.13,7.17,15.33,10.62,5.21,6.97,1.69,18.41,3.72,1.76,1.63,1.82,2.79,3.72,2.49,1.19,0.23,0.20,0.20,8.86,0.10,0.00,0.07,0.63,12.38,2.79,1.96,1.36,2.92,1.43,3.32,1.79,0.66,0.63,0.27,0.36,0.10,0.00,0.00,0.23,8.69,3.12,1.06,2.72,1.66,0.73,3.85,11.78,1.43,13.07,1.89,7.70,3.85,4.58,0.23,0.27,2.46,0.10,0.10,0.63,0.00,0.03,0.07,0.53,0.00,14.66,4.08,6.24,0.13,0.03,0.10,0.00,0.46,0.46,2.79,0.00,0.36
Reagan - Speech28 - Edited.txt,1,3095,54.54,80.75,36.32,42.17,22.59,17.48,91.18,60.81,18.00,9.47,2.55,3.91,0.58,0.32,2.10,8.53,7.82,14.70,11.05,3.84,7.33,1.65,19.39,2.88,1.52,1.84,0.84,2.55,4.85,2.84,1.94,0.06,1.10,0.13,11.44,0.03,0.26,0.03,0.42,13.02,3.07,1.78,2.29,3.23,1.36,3.04,1.71,0.29,1.03,0.29,0.32,0.16,0.06,0.03,0.06,10.24,4.78,1.49,2.84,1.07,0.78,4.78,11.89,2.10,12.86,2.46,7.56,3.23,4.23,0.19,0.03,3.07,0.19,0.00,0.78,0.00,0.03,0.26,0.48,0.00,13.67,4.07,5.75,0.03,0.03,0.39,0.03,0.23,0.13,2.91,0.00,0.10
Reagan - Speech18 - Edited.txt,1,3325,30.12,71.21,34.55,51.07,18.17,14.98,90.32,63.10,20.54,9.92,3.70,2.29,1.05,0.69,2.20,10.62,6.50,13.11,12.48,5.89,6.62,2.32,20.90,2.50,1.35,1.89,2.11,2.83,2.86,2.11,0.75,0.03,0.15,0.15,11.58,0.03,0.12,0.03,0.78,14.62,3.37,1.35,2.29,4.06,2.05,3.31,1.86,0.42,1.08,0.24,0.42,0.18,0.06,0.00,0.21,8.42,2.92,1.29,3.55,1.08,0.21,6.86,11.34,1.08,11.22,1.56,6.32,3.49,2.92,0.21,0.09,1.44,0.06,0.06,0.93,0.00,0.03,0.27,0.63,0.00,15.70,5.14,5.77,0.15,0.06,0.42,0.00,0.45,0.30,2.89,0.00,0.51
Reagan - Speech5 - Edited.txt,1,3553,51.56,73.39,47.54,45.96,21.80,16.97,90.49,61.05,17.39,8.75,2.79,3.72,0.79,0.48,0.99,8.64,7.49,15.14,11.54,5.32,7.01,1.77,18.91,4.02,2.56,1.80,1.75,2.36,3.91,2.48,1.38,0.20,0.42,0.20,9.68,0.11,0.14,0.42,0.11,13.43,3.66,1.55,1.69,3.18,1.66,3.35,1.41,0.42,0.70,0.23,0.65,0.14,0.48,0.00,0.03,9.37,4.50,1.66,2.25,1.27,0.62,3.29,13.26,2.03,13.00,2.31,6.36,4.64,3.18,0.20,0.45,1.63,0.03,0.06,0.76,0.03,0.17,0.14,0.39,0.03,14.55,4.45,6.22,0.06,0.11,0.14,0.00,0.53,0.23,2.65,0.00,0.17
Reagan - Speech2 - Edited.txt,1,3463,49.46,76.39,45.55,52.30,21.64,16.23,90.53,61.91,18.08,9.44,2.92,4.53,0.72,0.09,1.18,8.61,7.62,14.84,11.29,5.23,6.81,2.19,19.52,3.23,2.14,1.93,1.79,2.45,4.01,2.69,1.27,0.29,0.20,0.26,10.42,0.03,0.26,0.09,0.06,13.66,3.61,1.93,2.17,2.97,1.33,3.38,1.39,0.55,0.52,0.17,0.81,0.12,0.64,0.09,0.09,11.03,5.08,1.76,2.45,1.53,0.72,4.27,12.71,1.91,12.68,2.14,6.50,4.22,3.12,0.06,0.17,1.30,0.12,0.35,0.61,0.00,0.00,0.14,0.40,0.06,13.80,4.56,5.80,0.06,0.06,0.12,0.00,0.17,0.29,2.69,0.00,0.06
Reagan - Speech29 - Edited.txt,1,3203,31.12,75.89,41.84,35.01,18.84,16.98,90.67,62.38,20.20,10.24,3.37,3.84,0.81,0.75,1.47,9.96,6.74,13.21,11.68,6.15,7.40,2.37,20.51,3.03,1.69,2.31,1.19,2.84,4.31,2.40,1.87,0.16,0.59,0.28,11.80,0.00,0.12,0.06,0.81,13.30,3.31,1.31,1.69,3.06,1.56,3.65,1.84,0.66,0.75,0.47,0.28,0.12,0.09,0.03,0.03,9.99,4.81,1.09,2.59,1.19,0.84,4.75,13.39,1.50,11.86,1.47,6.46,4.00,2.37,0.16,0.16,1.50,0.12,0.25,1.09,0.03,0.06,0.34,0.66,0.00,15.52,4.96,5.90,0.19,0.03,0.34,0.03,0.31,0.00,3.65,0.00,0.09
Reagan - Speech24 - Edited.txt,1,3417,31.38,64.61,50.86,35.48,21.22,15.92,88.59,63.18,18.93,10.13,3.16,3.54,0.47,0.50,2.46,8.81,6.50,13.90,12.88,6.00,7.61,2.72,19.84,3.75,2.28,1.32,1.84,2.66,3.34,1.87,1.32,0.20,0.41,0.29,10.18,0.03,0.18,0.26,0.29,14.52,2.69,1.55,2.17,4.01,1.55,4.57,1.67,0.53,0.50,0.47,0.47,0.29,0.23,0.00,0.06,8.87,4.36,0.76,2.43,1.00,0.76,4.89,12.79,1.52,13.37,1.90,7.52,4.21,2.11,0.15,0.20,1.26,0.09,0.12,0.56,0.00,0.00,0.15,0.41,0.00,15.28,4.48,5.74,0.03,0.20,0.26,0.00,0.53,0.06,3.80,0.00,0.18
Reagan - Speech23 - Edited.txt,1,3573,48.84,73.46,38.19,28.10,21.92,17.04,89.50,61.77,17.16,8.68,2.41,2.55,1.04,0.28,2.41,8.48,7.78,14.67,11.28,5.63,7.67,2.07,18.11,3.41,2.29,1.62,2.02,2.55,4.59,2.32,2.18,0.39,1.18,0.17,10.78,0.08,0.11,0.00,0.36,13.88,2.35,2.13,1.71,4.11,1.54,3.61,1.06,0.14,0.70,0.20,0.45,0.28,0.14,0.00,0.03,10.27,3.30,1.60,4.48,1.09,0.45,5.18,10.58,1.65,12.82,1.82,6.91,4.34,2.85,0.22,0.17,0.73,0.42,0.64,0.64,0.00,0.00,0.08,0.56,0.00,14.30,4.37,6.27,0.00,0.17,0.28,0.00,0.34,0.28,2.29,0.00,0.31
Reagan - Speech36 - Edited.txt,1,2231,39.93,74.51,44.21,33.50,19.40,16.63,92.78,62.80,19.77,9.23,2.87,3.23,0.67,0.36,2.11,10.53,6.10,14.79,11.61,4.93,7.17,1.93,19.05,3.81,2.29,1.79,1.43,2.91,5.38,2.91,2.47,0.94,0.94,0.36,11.56,0.09,0.09,0.04,0.58,14.88,3.54,2.06,1.57,3.32,2.47,4.08,1.84,0.40,0.94,0.27,0.49,0.27,0.09,0.00,0.13,9.32,4.21,1.66,2.73,0.81,0.40,4.62,12.15,2.02,11.56,2.11,6.32,3.32,1.79,0.04,0.31,0.49,0.00,0.22,0.94,0.00,0.04,0.22,0.67,0.00,14.39,4.84,6.19,0.00,0.09,0.31,0.00,0.31,0.18,2.38,0.00,0.09
Reagan - Speech31 - Edited.txt,1,2864,29.32,73.87,52.46,26.93,18.72,14.98,91.69,65.47,20.60,11.17,3.95,2.69,2.03,0.70,1.82,9.43,6.91,14.32,11.91,6.88,7.75,2.65,19.24,3.56,1.99,1.78,1.12,2.69,4.29,2.13,2.06,0.70,0.66,0.21,12.12,0.00,0.07,0.00,0.80,13.58,3.21,1.43,1.47,3.70,1.64,3.84,1.78,0.49,0.98,0.28,0.24,0.14,0.07,0.00,0.03,7.93,3.14,1.19,2.30,1.29,0.42,4.05,14.11,1.12,12.53,1.43,7.30,3.84,1.47,0.17,0.14,0.42,0.14,0.42,0.84,0.00,0.03,0.42,0.38,0.00,15.61,5.06,6.42,0.00,0.14,0.28,0.00,0.45,0.07,3.07,0.00,0.10
Reagan - Speech40 - Edited.txt,1,3507,24.53,71.10,64.39,51.94,20.51,15.08,93.16,63.90,21.39,11.52,4.59,3.39,1.08,0.23,2.22,9.87,6.19,12.86,12.20,5.90,7.44,2.71,21.84,3.22,2.17,2.25,0.74,2.59,3.74,2.54,1.14,0.26,0.46,0.14,11.98,0.03,0.06,0.00,0.23,14.23,3.79,1.57,2.17,2.97,1.68,3.59,1.48,0.54,0.71,0.14,0.51,0.26,0.23,0.03,0.00,9.95,4.25,1.57,2.77,1.63,0.51,8.75,9.92,1.23,13.63,2.17,7.21,4.59,2.82,0.17,0.20,1.45,0.06,0.20,0.54,0.00,0.00,0.23,0.31,0.00,14.37,4.76,5.62,0.09,0.23,0.14,0.00,0.17,0.23,2.99,0.00,0.14
Reagan - Speech15 - Edited.txt,1,3486,47.73,70.63,48.65,42.97,20.87,16.52,91.28,61.22,17.36,8.75,3.10,3.10,0.75,0.46,1.35,8.61,7.37,14.43,11.96,5.71,6.66,1.86,20.54,3.53,2.35,1.15,1.81,2.61,3.56,2.24,1.29,0.14,0.17,0.20,9.75,0.00,0.11,0.06,0.57,12.62,2.87,1.78,1.98,2.44,1.89,3.18,1.52,0.46,0.92,0.11,0.37,0.23,0.09,0.03,0.06,9.78,4.13,1.35,2.70,1.09,0.98,4.07,13.74,2.07,14.08,2.32,6.80,5.22,4.04,0.14,0.23,2.29,0.00,0.03,0.80,0.03,0.00,0.17,0.57,0.00,14.49,4.53,5.97,0.06,0.06,0.32,0.00,0.34,0.29,2.84,0.00,0.09
Reagan - Speech12 - Edited.txt,1,3768,43.02,74.49,43.44,50.01,19.94,15.31,88.22,60.88,18.18,9.47,3.03,3.42,0.85,0.82,1.35,8.70,7.19,13.75,11.78,5.36,7.43,1.59,19.75,3.53,2.28,1.62,1.73,2.28,2.79,2.04,0.74,0.16,0.13,0.21,9.95,0.11,0.11,0.08,0.80,12.05,2.97,2.02,2.07,3.11,0.88,3.03,1.88,0.48,0.77,0.56,0.16,0.05,0.08,0.00,0.03,9.53,4.25,1.51,2.63,1.06,0.50,4.35,12.82,1.67,13.88,2.23,6.61,5.39,2.84,0.16,0.19,1.41,0.11,0.00,0.64,0.00,0.13,0.21,0.29,0.00,15.02,4.86,6.24,0.03,0.03,0.29,0.00,0.50,0.05,2.76,0.00,0.27
