Filename,Date
Bush - Speech114 - Edited.txt,14/02/1992
Bush - Speech115 - Edited.txt,27/02/1992
Bush - Speech116 - Edited.txt,11/03/1992
Bush - Speech117 - Edited.txt,22/03/1992
Bush - Speech118 - Edited.txt,01/04/1992
Bush - Speech119 - Edited.txt,10/04/1992
Bush - Speech120 - Edited.txt,06/05/1992
Bush - Speech121 - Edited.txt,20/05/1992
Bush - Speech122 - Edited.txt,04/06/1992
Bush - Speech123 - Edited.txt,07/06/1992
Bush - Speech124 - Edited.txt,13/06/1992
Bush - Speech125 - Edited.txt,17/06/1992
Bush - Speech126 - Edited.txt,02/07/1992
Bush - Speech127 - Edited.txt,08/07/1992
Bush - Speech128 - Edited.txt,14/07/1992
Bush - Speech129 - Edited.txt,16/07/1992
Bush - Speech130 - Edited.txt,07/08/1992
Bush - Speech131 - Edited.txt,08/08/1992
Bush - Speech132 - Edited.txt,11/08/1992
Bush - Speech133 - Edited.txt,28/08/1992
Bush - Speech134 - Edited.txt,03/01/1993
Bush - Speech135 - Edited.txt,16/01/1993
