Filename,Date
Bush - Speech1 - Edited.txt,27/01/1989
Bush - Speech2 - Edited.txt,06/02/1989
Bush - Speech3 - Edited.txt,21/02/1989
Bush - Speech4 - Edited.txt,24/02/1989
Bush - Speech5 - Edited.txt,25/02/1989
Bush - Speech6 - Edited.txt,07/03/1989
Bush - Speech7 - Edited.txt,10/03/1989
Bush - Speech8 - Edited.txt,17/03/1989
Bush - Speech9 - Edited.txt,07/04/1989
Bush - Speech10 - Edited.txt,21/05/1989
Bush - Speech11 - Edited.txt,30/05/1989
Bush - Speech12 - Edited.txt,05/06/1989
Bush - Speech13 - Edited.txt,08/06/1989
Bush - Speech14 - Edited.txt,27/06/1989
Bush - Speech15 - Edited.txt,06/07/1989
Bush - Speech16 - Edited.txt,16/07/1989
Bush - Speech17 - Edited.txt,28/07/1989
Bush - Speech18 - Edited.txt,15/08/1989
Bush - Speech19 - Edited.txt,23/08/1989
Bush - Speech20 - Edited.txt,31/08/1989
Bush - Speech21 - Edited.txt,06/09/1989
Bush - Speech22 - Edited.txt,18/09/1989
Bush - Speech23 - Edited.txt,13/10/1989
Bush - Speech24 - Edited.txt,28/10/1989
Bush - Speech25 - Edited.txt,31/10/1989
Bush - Speech26 - Edited.txt,07/11/1989
Bush - Speech27 - Edited.txt,04/12/1989
Bush - Speech28 - Edited.txt,16/12/1989
Bush - Speech29 - Edited.txt,21/12/1989
Bush - Speech30 - Edited.txt,05/01/1990
Bush - Speech31 - Edited.txt,24/01/1990
Bush - Speech32 - Edited.txt,25/01/1990
Bush - Speech33 - Edited.txt,12/02/1990
Bush - Speech34 - Edited.txt,15/02/1990
Bush - Speech35 - Edited.txt,15/02/1990
Bush - Speech36 - Edited.txt,25/02/1990
Bush - Speech37 - Edited.txt,03/03/1990
Bush - Speech38 - Edited.txt,13/03/1990
Bush - Speech39 - Edited.txt,22/03/1990
Bush - Speech40 - Edited.txt,23/03/1990
Bush - Speech41 - Edited.txt,10/04/1990
Bush - Speech42 - Edited.txt,13/04/1990
Bush - Speech43 - Edited.txt,19/04/1990
Bush - Speech44 - Edited.txt,03/05/1990
Bush - Speech45 - Edited.txt,16/05/1990
Bush - Speech46 - Edited.txt,24/05/1990
Bush - Speech47 - Edited.txt,03/06/1990
Bush - Speech48 - Edited.txt,13/06/1990
Bush - Speech49 - Edited.txt,20/06/1990
Bush - Speech50 - Edited.txt,29/06/1990
Bush - Speech51 - Edited.txt,06/07/1990
Bush - Speech52 - Edited.txt,11/07/1990
Bush - Speech53 - Edited.txt,08/08/1990
Bush - Speech54 - Edited.txt,14/08/1990
Bush - Speech55 - Edited.txt,16/08/1990
Bush - Speech56 - Edited.txt,22/08/1990
Bush - Speech57 - Edited.txt,30/08/1990
Bush - Speech58 - Edited.txt,09/09/1990
Bush - Speech59 - Edited.txt,21/09/1990
Bush - Speech60 - Edited.txt,06/10/1990
Bush - Speech61 - Edited.txt,09/10/1990
Bush - Speech62 - Edited.txt,01/11/1990
Bush - Speech63 - Edited.txt,08/11/1990
Bush - Speech64 - Edited.txt,30/11/1990
Bush - Speech65 - Edited.txt,18/12/1990
Bush - Speech66 - Edited.txt,09/01/1991
Bush - Speech67 - Edited.txt,12/01/1991
Bush - Speech68 - Edited.txt,18/01/1991
Bush - Speech69 - Edited.txt,05/02/1991
Bush - Speech70 - Edited.txt,01/03/1991
Bush - Speech71 - Edited.txt,13/03/1991
Bush - Speech72 - Edited.txt,14/03/1991
Bush - Speech73 - Edited.txt,16/03/1991
Bush - Speech74 - Edited.txt,23/03/1991
Bush - Speech75 - Edited.txt,04/04/1991
Bush - Speech76 - Edited.txt,06/04/1991
Bush - Speech77 - Edited.txt,07/04/1991
Bush - Speech78 - Edited.txt,16/04/1991
Bush - Speech79 - Edited.txt,20/05/1991
Bush - Speech80 - Edited.txt,28/05/1991
Bush - Speech81 - Edited.txt,01/07/1991
Bush - Speech82 - Edited.txt,09/07/1991
Bush - Speech83 - Edited.txt,11/07/1991
Bush - Speech84 - Edited.txt,14/07/1991
Bush - Speech85 - Edited.txt,17/07/1991
Bush - Speech86 - Edited.txt,17/07/1991
Bush - Speech87 - Edited.txt,18/07/1991
Bush - Speech88 - Edited.txt,20/07/1991
Bush - Speech89 - Edited.txt,31/07/1991
Bush - Speech90 - Edited.txt,02/08/1991
Bush - Speech91- Edited.txt,20/08/1991
Bush - Speech92 - Edited.txt,21/08/1991
Bush - Speech93 - Edited.txt,26/08/1991
Bush - Speech94 - Edited.txt,29/08/1991
Bush - Speech95 - Edited.txt,02/09/1991
Bush - Speech96 - Edited.txt,12/09/1991
Bush - Speech97 - Edited.txt,16/09/1991
Bush - Speech98 - Edited.txt,04/10/1991
Bush - Speech99 - Edited.txt,25/10/1991
Bush - Speech100 - Edited.txt,29/10/1991
Bush - Speech101 - Edited.txt,29/10/1991
Bush - Speech102 - Edited.txt,06/11/1991
Bush - Speech103 - Edited.txt,08/11/1991
Bush - Speech104 - Edited.txt,09/11/1991
Bush - Speech105 - Edited.txt,05/12/1991
Bush - Speech106 - Edited.txt,19/12/1991
Bush - Speech107 - Edited.txt,26/12/1991
Bush - Speech108 - Edited.txt,02/01/1992
Bush - Speech109 - Edited.txt,04/01/1992
Bush - Speech110 - Edited.txt,06/01/1992
Bush - Speech111 - Edited.txt,09/01/1992
Bush - Speech112 - Edited.txt,22/01/1992
Bush - Speech113 - Edited.txt,01/02/1992
