,index,Filename,Date,JDate,Days,Julian,TTR,WordCount,UniqueWords,UniqueStems,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,WP$,SYM,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
10,10,Bush - Speech12 - Edited.txt,05/06/1989,1989-06-05,129,2447682.5,0.2858435097241067,2211.0,632.0,548.0,21.136752136752136,13.0,3.0,71.0,0.0,0.0,141.0,117.0,29.0,99.0,8.0,224.0,10.0,0.0,245.0,128.0,4.0,3.0,42.0,247.0,78.0,5.0,86.0,1.0,3.0,219.0,28.0,168.0,6.0,0.0,5.0,85.0,3.0,130.0,50.0,36.0,43.0,137.0,56.0,9.0,20.0,8.0,0.0,0.0,0.0,1,2119,50.8,58.04,73.28,66.84,17.96,18.17,88.34,59.6,17.79,9.63,5.14,1.6,0.99,0.42,1.46,8.16,7.55,14.35,9.82,5.52,7.46,1.98,18.59,3.54,1.84,1.46,0.42,1.75,4.48,3.26,1.09,0.28,0.24,0.14,9.39,0.09,0.19,0.0,0.52,11.85,3.35,1.98,1.56,1.56,1.04,2.83,2.55,1.56,0.38,0.47,0.52,0.09,0.24,0.0,0.09,7.93,2.78,0.99,3.4,0.85,0.52,3.73,13.45,1.51,15.38,2.74,8.16,5.05,1.46,0.24,0.05,0.14,0.0,0.05,0.52,0.0,0.0,0.28,0.24,0.0,17.23,5.47,6.65,0.19,0.38,0.14,0.0,1.09,0.0,3.3,0.0,0.0,416.0,4.16,0.18815015829941203,135.0,1.35,0.06105834464043419,174.0,1.74,0.07869742198100407,452.0,4.52,0.20443238353686116,247.0,0.1117141564902759,0.2575019235701462,0.21697871249038214
11,11,Bush - Speech13 - Edited.txt,08/06/1989,1989-06-08,132,2447685.5,0.2483204777307788,4019.0,998.0,832.0,18.14516129032258,19.0,7.0,140.0,0.0,6.0,228.0,248.0,64.0,212.0,22.0,352.0,28.0,1.0,419.0,215.0,11.0,2.0,96.0,395.0,153.0,19.0,157.0,2.0,6.0,418.0,50.0,270.0,2.0,3.0,24.0,120.0,12.0,255.0,105.0,70.0,99.0,222.0,131.0,21.0,36.0,17.0,6.0,3.0,0.0,1,3790,35.86,74.37,42.18,53.55,15.28,17.12,88.58,58.6,18.39,10.74,4.27,2.66,1.35,1.35,1.11,7.65,6.25,12.93,11.82,4.78,7.81,2.4,21.03,3.03,1.56,1.66,0.92,1.93,4.85,3.11,1.64,0.18,0.42,0.29,12.9,0.08,0.11,0.32,1.21,13.54,3.35,1.61,2.43,2.66,1.45,3.69,2.59,1.06,1.06,0.42,0.71,0.11,0.4,0.05,0.13,9.26,3.75,1.69,2.72,1.27,0.84,4.38,13.85,1.82,12.27,2.74,7.02,3.35,2.19,0.32,0.11,0.26,0.05,0.08,0.69,0.0,0.0,0.37,0.32,0.0,19.45,6.39,6.12,0.13,0.53,0.29,0.0,1.35,0.32,4.27,0.0,0.05,724.0,7.24,0.18014431450609605,228.0,2.28,0.05673052998258273,275.0,2.75,0.06842498133864146,882.0,8.82,0.21945757651157005,468.0,0.11644687733266981,0.2570056044835869,0.2201761409127302
12,12,Bush - Speech14 - Edited.txt,27/06/1989,1989-06-27,151,2447704.5,0.2259700176366843,4536.0,1025.0,840.0,19.10188679245283,14.0,13.0,192.0,1.0,5.0,252.0,265.0,76.0,222.0,19.0,411.0,15.0,1.0,492.0,233.0,6.0,8.0,95.0,435.0,227.0,20.0,162.0,4.0,7.0,454.0,60.0,301.0,5.0,1.0,20.0,174.0,17.0,291.0,76.0,97.0,92.0,291.0,135.0,19.0,53.0,15.0,5.0,0.0,0.0,1,4290,41.68,49.25,58.76,72.47,16.07,17.51,89.51,59.21,18.11,10.28,6.13,1.89,1.1,0.58,0.58,7.83,6.46,14.08,11.63,4.94,7.44,2.31,21.42,3.59,1.66,1.68,0.63,1.68,4.27,3.31,0.82,0.09,0.26,0.19,9.51,0.07,0.19,0.19,0.54,13.99,3.1,1.14,2.31,3.03,1.68,4.24,2.8,1.45,0.77,0.51,0.28,0.12,0.09,0.02,0.09,8.3,2.98,1.61,2.77,1.68,0.33,3.17,15.34,2.54,11.75,2.54,6.6,3.15,2.56,0.47,0.05,0.75,0.07,0.0,0.79,0.0,0.0,0.49,0.26,0.0,18.74,5.94,5.9,0.21,0.42,0.42,0.0,1.63,0.23,3.82,0.0,0.16,844.0,8.44,0.18606701940035272,247.0,2.47,0.05445326278659612,307.0,3.07,0.06768077601410935,982.0,9.82,0.21649029982363316,514.0,0.11331569664902998,0.2505347593582888,0.20935828877005347
13,13,Bush - Speech15 - Edited.txt,06/07/1989,1989-07-06,160,2447713.5,0.228515625,3584.0,819.0,684.0,21.73224043715847,6.0,8.0,150.0,2.0,3.0,204.0,183.0,64.0,167.0,20.0,334.0,8.0,2.0,400.0,208.0,13.0,5.0,96.0,341.0,136.0,19.0,142.0,3.0,10.0,349.0,40.0,237.0,6.0,1.0,21.0,143.0,6.0,258.0,42.0,87.0,48.0,190.0,116.0,18.0,29.0,22.0,3.0,1.0,0.0,1,3370,40.96,71.56,52.04,81.01,18.42,17.15,88.64,59.73,18.61,10.39,3.89,4.09,1.34,0.59,0.47,8.22,5.82,14.96,11.16,4.75,7.8,2.61,20.18,3.95,1.9,1.66,0.71,2.08,5.04,4.01,0.95,0.27,0.03,0.12,11.34,0.03,0.15,0.0,0.65,13.26,2.61,1.19,2.34,3.77,1.22,4.54,2.4,0.86,1.04,0.5,0.27,0.24,0.0,0.0,0.03,11.48,5.31,2.05,2.67,2.05,0.71,2.31,14.84,2.28,13.2,3.18,8.46,2.05,2.7,0.15,0.21,0.68,0.06,0.0,0.5,0.03,0.0,0.24,0.24,0.0,19.23,5.52,6.05,0.18,0.47,0.24,0.0,1.81,0.18,4.72,0.0,0.06,638.0,6.38,0.17801339285714285,226.0,2.26,0.06305803571428571,244.0,2.44,0.06808035714285714,741.0,7.41,0.20675223214285715,389.0,0.10853794642857142,0.2594534915815622,0.21887938172784985
14,14,Bush - Speech16 - Edited.txt,16/07/1989,1989-07-16,170,2447723.5,0.2412689949346841,3751.0,905.0,748.0,19.9,23.0,8.0,112.0,0.0,4.0,214.0,210.0,79.0,194.0,20.0,388.0,30.0,3.0,407.0,184.0,20.0,2.0,66.0,418.0,158.0,6.0,121.0,0.0,12.0,348.0,38.0,279.0,7.0,2.0,23.0,112.0,4.0,190.0,135.0,70.0,72.0,154.0,123.0,16.0,38.0,27.0,4.0,1.0,0.0,1,3539,39.9,67.33,59.26,56.17,16.85,16.59,89.63,60.02,17.43,8.93,3.7,2.49,1.44,0.76,0.54,8.51,7.06,13.53,10.6,6.53,8.25,2.32,19.13,4.04,2.26,2.03,0.73,2.83,4.07,2.83,1.22,0.2,0.34,0.17,10.45,0.0,0.06,0.0,0.9,13.59,3.76,1.44,1.7,3.11,1.38,3.84,1.89,0.82,0.76,0.25,0.45,0.17,0.08,0.03,0.2,8.79,3.9,1.41,1.92,1.53,0.82,4.94,11.84,1.7,13.56,2.63,7.88,3.22,2.29,0.14,0.4,1.24,0.03,0.06,0.79,0.03,0.0,0.2,0.54,0.03,18.85,6.05,6.05,0.14,0.17,0.23,0.03,2.18,0.23,3.73,0.0,0.06,703.0,7.03,0.18741668888296453,206.0,2.06,0.05491868834977339,288.0,2.88,0.07677952545987736,744.0,7.44,0.19834710743801653,386.0,0.10290589176219675,0.2573898494143893,0.21751254880089235
15,15,Bush - Speech17 - Edited.txt,28/07/1989,1989-07-28,182,2447735.5,0.2746781115879828,2796.0,768.0,651.0,20.72,12.0,7.0,117.0,2.0,0.0,160.0,150.0,46.0,120.0,18.0,296.0,12.0,0.0,298.0,131.0,5.0,3.0,64.0,290.0,133.0,5.0,79.0,0.0,8.0,292.0,19.0,206.0,2.0,1.0,13.0,87.0,0.0,175.0,62.0,68.0,68.0,148.0,89.0,21.0,26.0,10.0,0.0,0.0,1.0,1,2630,39.39,40.08,55.71,63.98,17.53,17.64,90.0,60.04,18.06,9.81,6.08,1.71,1.1,0.46,0.46,8.25,7.38,13.27,11.67,5.48,7.38,2.78,21.71,3.08,1.6,1.71,0.8,2.43,5.7,3.69,1.67,0.11,0.46,0.38,8.02,0.04,0.0,0.0,0.65,14.87,3.61,1.63,2.66,3.27,1.33,4.49,2.17,0.95,0.57,0.53,0.57,0.19,0.27,0.0,0.11,8.48,2.24,2.17,2.66,1.94,0.76,3.65,14.87,1.86,10.8,2.17,6.43,2.47,2.93,0.3,0.27,0.99,0.04,0.0,0.49,0.0,0.04,0.0,0.46,0.0,18.52,5.67,6.08,0.08,0.34,0.11,0.0,1.52,0.0,4.37,0.0,0.34,507.0,5.07,0.1813304721030043,139.0,1.39,0.04971387696709585,209.0,2.09,0.07474964234620887,610.0,6.1,0.21816881258941345,311.0,0.11123032904148784,0.2627262443438914,0.22483031674208145
16,16,Bush - Speech18 - Edited.txt,15/08/1989,1989-08-15,200,2447753.5,0.2598930481283422,2805.0,729.0,622.0,21.12837837837838,12.0,3.0,124.0,0.0,3.0,170.0,148.0,35.0,123.0,4.0,308.0,24.0,0.0,342.0,167.0,10.0,0.0,80.0,292.0,94.0,11.0,108.0,3.0,1.0,260.0,25.0,193.0,5.0,1.0,14.0,95.0,6.0,189.0,43.0,53.0,61.0,144.0,72.0,11.0,20.0,11.0,1.0,0.0,0.0,1,2671,48.14,59.31,56.97,59.82,18.05,17.41,90.49,59.94,16.47,9.02,4.12,2.43,1.46,0.45,0.56,7.45,7.3,14.68,11.64,5.84,7.23,2.4,20.22,3.52,2.17,1.27,0.26,2.92,5.02,3.33,1.54,0.26,0.3,0.22,8.99,0.07,0.04,0.0,0.52,15.28,3.56,1.72,2.7,3.82,1.57,3.97,1.83,0.67,0.67,0.45,0.71,0.07,0.6,0.04,0.04,9.62,3.33,1.68,2.77,1.61,0.79,3.59,14.08,1.65,13.55,2.55,8.16,3.52,1.98,0.26,0.11,0.26,0.07,0.11,0.9,0.04,0.0,0.3,0.52,0.0,18.01,5.43,6.36,0.11,0.22,0.3,0.0,1.42,0.15,3.93,0.0,0.07,505.0,5.05,0.1800356506238859,177.0,1.77,0.06310160427807486,199.0,1.99,0.07094474153297682,562.0,5.62,0.20035650623885917,285.0,0.10160427807486631,0.2518775274407857,0.21663778162911612
17,17,Bush - Speech19 - Edited.txt,23/08/1989,1989-08-23,208,2447761.5,0.2314730100640439,4372.0,1012.0,832.0,19.647773279352226,22.0,10.0,181.0,1.0,4.0,232.0,247.0,74.0,220.0,22.0,488.0,28.0,0.0,496.0,229.0,14.0,8.0,101.0,466.0,184.0,17.0,163.0,0.0,3.0,423.0,49.0,299.0,4.0,3.0,22.0,122.0,7.0,257.0,75.0,69.0,80.0,234.0,139.0,28.0,29.0,12.0,4.0,0.0,0.0,1,4133,40.71,48.84,58.0,83.73,16.73,16.38,90.83,60.17,18.22,9.56,5.35,1.62,0.82,0.7,1.06,8.66,7.36,13.55,11.61,5.23,7.77,2.32,19.33,4.43,1.96,1.11,0.65,2.27,5.95,4.5,1.23,0.17,0.24,0.17,8.47,0.05,0.48,0.07,0.87,13.91,3.39,1.45,1.72,3.44,1.65,3.53,2.06,1.04,0.46,0.41,0.27,0.02,0.19,0.0,0.05,9.97,2.64,1.91,3.73,1.77,0.92,3.17,14.11,1.67,12.36,2.25,7.89,2.54,2.88,0.39,0.22,0.58,0.15,0.0,0.73,0.0,0.0,0.24,0.48,0.0,18.12,5.86,5.61,0.05,0.29,0.19,0.0,1.79,0.19,4.11,0.0,0.02,830.0,8.3,0.1898444647758463,251.0,2.51,0.057410795974382436,306.0,3.06,0.06999085086916743,854.0,8.54,0.19533394327538883,472.0,0.10795974382433669,0.2577951002227171,0.21603563474387527
18,18,Bush - Speech20 - Edited.txt,31/08/1989,1989-08-31,216,2447769.5,0.2887588800668617,2393.0,691.0,582.0,21.524193548387096,9.0,9.0,94.0,0.0,1.0,148.0,124.0,39.0,106.0,7.0,223.0,20.0,0.0,290.0,120.0,6.0,3.0,49.0,251.0,120.0,10.0,95.0,1.0,8.0,202.0,23.0,164.0,5.0,1.0,15.0,95.0,5.0,138.0,35.0,74.0,45.0,106.0,86.0,13.0,14.0,23.0,1.0,1.0,2.0,1,2289,51.44,68.92,54.44,68.64,18.46,18.17,89.25,59.63,16.16,8.61,3.45,3.41,0.61,0.83,0.31,7.56,6.51,15.68,10.66,6.64,7.34,1.83,19.13,3.98,2.1,1.79,0.66,1.92,4.98,3.54,1.27,0.22,0.17,0.13,9.74,0.0,0.31,0.04,0.92,13.94,3.32,1.57,2.18,3.06,2.05,3.54,1.83,0.83,0.35,0.52,0.48,0.09,0.22,0.0,0.17,11.14,4.89,2.01,3.1,1.18,0.83,2.62,13.06,2.62,14.37,3.01,8.34,3.54,2.58,0.44,0.09,0.61,0.35,0.0,0.79,0.0,0.0,0.26,0.52,0.0,17.34,5.46,6.47,0.17,0.31,0.13,0.0,1.53,0.09,3.01,0.0,0.17,476.0,4.76,0.19891349770162975,129.0,1.29,0.053907229419139155,170.0,1.7,0.0710405348934392,484.0,4.84,0.20225658169661512,225.0,0.09402423735896365,0.273678094131319,0.22922719349215573
19,19,Bush - Speech21 - Edited.txt,06/09/1989,1989-09-06,222,2447775.5,0.2529824561403508,2850.0,721.0,606.0,20.025316455696203,18.0,7.0,119.0,4.0,2.0,151.0,158.0,51.0,150.0,28.0,303.0,17.0,0.0,296.0,174.0,12.0,1.0,52.0,317.0,96.0,5.0,113.0,1.0,5.0,269.0,23.0,190.0,6.0,1.0,18.0,90.0,8.0,162.0,34.0,71.0,60.0,152.0,102.0,14.0,14.0,12.0,2.0,0.0,0.0,1,2688,43.04,63.39,40.33,72.44,16.91,17.93,90.66,58.89,17.0,8.37,3.5,2.16,1.08,0.63,1.0,8.63,7.07,13.73,11.35,5.51,8.04,2.31,19.68,3.42,1.79,1.23,1.34,2.05,5.54,3.91,1.41,0.11,0.45,0.19,9.9,0.37,0.26,0.19,0.67,12.98,2.86,2.01,2.08,3.2,1.15,3.91,1.75,0.67,0.56,0.33,1.12,0.15,0.82,0.04,0.04,10.64,3.46,1.82,3.57,1.9,0.56,2.6,15.14,1.6,11.98,2.05,7.7,2.53,3.87,0.41,0.33,1.38,0.04,0.07,0.86,0.0,0.04,0.26,0.52,0.0,18.08,5.73,5.62,0.26,0.22,0.26,0.07,1.53,0.15,4.02,0.0,0.22,531.0,5.31,0.1863157894736842,187.0,1.87,0.0656140350877193,197.0,1.97,0.06912280701754386,581.0,5.81,0.20385964912280702,292.0,0.10245614035087719,0.24057084607543322,0.20489296636085627
20,20,Bush - Speech22 - Edited.txt,18/09/1989,1989-09-18,234,2447787.5,0.2402458578300374,3742.0,899.0,745.0,19.70754716981132,20.0,13.0,172.0,0.0,0.0,214.0,212.0,67.0,183.0,25.0,371.0,32.0,1.0,405.0,202.0,15.0,7.0,98.0,380.0,149.0,9.0,111.0,1.0,5.0,368.0,40.0,296.0,5.0,1.0,23.0,114.0,2.0,256.0,60.0,76.0,62.0,214.0,101.0,29.0,28.0,16.0,0.0,0.0,0.0,1,3527,36.52,46.14,76.13,73.43,16.72,16.59,90.39,60.5,18.26,9.84,4.91,2.61,1.05,0.34,0.94,8.36,6.41,13.89,11.4,5.95,7.4,3.06,20.98,3.4,1.59,1.42,0.96,2.32,4.88,3.66,1.11,0.23,0.37,0.14,8.39,0.0,0.03,0.0,0.4,15.68,3.8,1.22,2.21,3.35,1.67,5.02,2.58,0.71,1.19,0.6,0.4,0.2,0.17,0.03,0.03,8.36,3.46,1.11,2.44,1.33,0.65,2.75,15.51,2.27,14.09,3.23,8.19,3.23,2.47,0.11,0.2,0.65,0.06,0.03,0.85,0.03,0.03,0.14,0.65,0.0,19.05,5.87,6.12,0.23,0.28,0.2,0.0,1.59,0.0,4.56,0.0,0.2,649.0,6.49,0.1734366648850882,224.0,2.24,0.05986103687867451,302.0,3.02,0.08070550507749866,769.0,7.69,0.2055050774986638,408.0,0.10903260288615714,0.23919172932330826,0.19713345864661655
21,21,Bush - Speech23 - Edited.txt,13/10/1989,1989-10-13,259,2447812.5,0.2372340425531915,2820.0,669.0,555.0,16.746031746031747,12.0,13.0,121.0,0.0,0.0,149.0,189.0,48.0,130.0,13.0,302.0,23.0,0.0,270.0,139.0,8.0,5.0,75.0,281.0,87.0,2.0,80.0,5.0,5.0,314.0,29.0,205.0,4.0,0.0,25.0,88.0,9.0,183.0,60.0,63.0,53.0,168.0,87.0,13.0,37.0,16.0,0.0,0.0,0.0,1,2625,21.17,34.3,64.56,55.96,13.67,14.9,91.89,63.09,20.3,11.12,6.82,2.29,1.22,0.34,0.46,9.18,6.25,12.61,13.56,5.37,7.28,4.5,22.78,3.35,1.87,2.25,0.69,2.74,5.03,3.28,1.68,0.3,0.99,0.11,9.3,0.0,0.04,0.0,0.42,16.27,2.59,1.94,2.13,3.43,2.29,5.49,3.12,1.68,1.03,0.42,0.34,0.08,0.23,0.04,0.04,9.22,2.9,1.75,3.43,2.17,0.42,4.42,16.15,1.94,10.82,1.83,6.67,2.63,2.32,0.27,0.15,0.19,0.11,0.04,1.07,0.04,0.04,0.53,0.42,0.04,21.56,7.16,5.68,0.23,0.23,0.34,0.0,1.64,0.0,6.13,0.0,0.15,450.0,4.5,0.1595744680851064,152.0,1.52,0.05390070921985816,209.0,2.09,0.07411347517730496,614.0,6.14,0.21773049645390072,343.0,0.12163120567375886,0.25572621934788464,0.21719213150094313
22,22,Bush - Speech24 - Edited.txt,28/10/1989,1989-10-28,274,2447827.5,0.2436433859028001,3107.0,757.0,627.0,18.808743169398905,6.0,6.0,107.0,0.0,0.0,145.0,183.0,64.0,141.0,21.0,312.0,17.0,0.0,311.0,174.0,4.0,0.0,76.0,330.0,89.0,9.0,94.0,0.0,10.0,324.0,34.0,217.0,4.0,2.0,16.0,117.0,9.0,205.0,83.0,76.0,63.0,145.0,105.0,22.0,28.0,12.0,0.0,0.0,0.0,1,2931,37.57,59.02,32.36,70.69,16.02,16.65,90.41,60.39,18.83,10.47,4.71,1.91,0.82,2.22,0.82,8.36,6.99,13.07,12.25,5.15,6.69,2.52,21.05,2.8,0.72,1.64,1.02,2.39,6.0,4.16,1.77,0.0,0.89,0.34,10.92,0.1,0.07,0.03,2.42,14.5,3.07,1.23,2.42,3.17,1.84,4.13,2.63,0.92,0.85,0.78,0.24,0.03,0.17,0.03,0.03,8.46,2.66,1.47,2.87,1.5,0.61,4.06,14.19,1.6,10.99,2.22,6.35,2.66,2.18,0.58,0.17,0.48,0.07,0.0,0.68,0.0,0.03,0.31,0.31,0.0,18.39,6.14,4.95,0.27,0.17,0.34,0.03,2.15,0.0,4.26,0.0,0.07,522.0,5.22,0.16800772449308013,178.0,1.78,0.05728999034438365,223.0,2.23,0.07177341486964918,677.0,6.77,0.2178950756356614,358.0,0.11522368844544577,0.2630992196209587,0.22826086956521738
23,23,Bush - Speech25 - Edited.txt,31/10/1989,1989-10-31,277,2447830.5,0.1951332560834299,4315.0,842.0,695.0,19.23293172690763,18.0,16.0,195.0,0.0,4.0,216.0,249.0,70.0,198.0,29.0,451.0,30.0,5.0,448.0,185.0,9.0,3.0,103.0,405.0,151.0,10.0,141.0,8.0,5.0,479.0,38.0,312.0,3.0,3.0,26.0,142.0,6.0,270.0,103.0,98.0,106.0,255.0,129.0,20.0,37.0,38.0,4.0,0.0,0.0,1,4011,27.33,57.23,64.39,66.8,16.04,15.11,91.05,62.4,19.97,11.04,5.61,2.87,1.17,0.7,0.7,8.93,6.43,13.76,12.84,5.96,7.75,3.07,22.61,2.99,1.62,2.04,0.82,2.09,3.76,2.97,0.8,0.22,0.2,0.17,10.62,0.0,0.1,0.0,0.72,15.03,3.34,2.44,1.89,2.84,1.72,4.16,2.77,1.17,1.07,0.47,0.52,0.4,0.07,0.0,0.05,9.15,3.66,1.5,2.42,2.32,0.32,4.81,14.63,2.62,12.69,2.89,7.16,3.32,2.97,0.22,0.15,0.32,0.1,0.0,0.75,0.0,0.0,0.15,0.6,0.0,20.24,6.63,5.39,0.2,0.2,0.2,0.0,1.57,0.2,5.66,0.0,0.2,707.0,7.07,0.1638470451911935,197.0,1.97,0.045654692931633836,318.0,3.18,0.07369640787949015,961.0,9.61,0.2227114716106605,517.0,0.11981460023174971,0.2679087696755541,0.23128814648249277
24,24,Bush - Speech26 - Edited.txt,07/11/1989,1989-11-07,284,2447837.5,0.2335433412991527,4603.0,1075.0,860.0,17.033112582781456,9.0,10.0,172.0,1.0,1.0,232.0,302.0,64.0,187.0,32.0,467.0,24.0,0.0,473.0,228.0,5.0,10.0,90.0,479.0,156.0,5.0,176.0,4.0,13.0,486.0,44.0,349.0,4.0,2.0,29.0,185.0,4.0,283.0,92.0,95.0,74.0,277.0,156.0,26.0,51.0,37.0,1.0,0.0,0.0,1,4376,41.15,51.65,64.43,72.8,14.49,17.32,90.06,59.32,18.85,10.24,5.32,1.44,1.26,1.01,1.21,8.62,6.54,13.87,10.35,5.92,6.7,2.67,20.29,3.66,1.39,2.17,0.96,2.4,5.55,3.91,1.39,0.18,0.53,0.09,9.96,0.07,0.09,0.09,1.07,14.58,3.68,1.55,1.9,3.43,1.92,4.23,2.24,1.01,0.82,0.34,0.48,0.11,0.25,0.09,0.11,8.84,2.58,1.71,2.81,2.03,0.64,3.22,15.29,1.6,12.89,2.79,7.43,3.38,2.26,0.41,0.23,0.66,0.16,0.07,0.64,0.02,0.0,0.21,0.41,0.0,18.53,6.63,5.3,0.16,0.11,0.48,0.0,1.55,0.05,4.23,0.0,0.02,816.0,8.16,0.1772756897675429,243.0,2.43,0.052791657614599176,355.0,3.55,0.0771236150336737,977.0,9.77,0.21225287855746253,530.0,0.11514229850097762,0.26822157434402333,0.2294460641399417
25,25,Bush - Speech27 - Edited.txt,04/12/1989,1989-12-04,311,2447864.5,0.2574903589439336,3371.0,868.0,722.0,17.30275229357798,13.0,8.0,121.0,0.0,5.0,172.0,218.0,51.0,138.0,16.0,346.0,18.0,1.0,371.0,196.0,9.0,10.0,58.0,329.0,148.0,10.0,118.0,1.0,2.0,372.0,41.0,231.0,7.0,2.0,20.0,115.0,4.0,208.0,118.0,53.0,49.0,164.0,100.0,21.0,25.0,20.0,5.0,0.0,0.0,1,3209,46.73,65.51,41.8,71.93,14.72,16.08,89.44,59.8,18.42,11.06,4.67,2.49,1.03,2.43,0.44,7.35,7.29,14.4,10.97,5.33,6.7,2.37,20.01,4.3,2.37,1.62,0.75,2.18,4.64,3.49,1.03,0.19,0.22,0.06,11.0,0.0,0.16,0.03,2.49,13.15,3.27,1.68,2.06,3.27,0.97,3.49,2.24,1.06,0.56,0.59,0.34,0.19,0.06,0.0,0.09,9.29,3.8,1.28,2.87,1.68,0.62,4.55,12.9,1.37,12.81,2.49,8.1,2.84,2.12,0.25,0.16,1.15,0.0,0.06,0.69,0.0,0.0,0.25,0.44,0.0,18.73,6.95,5.36,0.31,0.12,0.41,0.0,1.5,0.31,3.58,0.0,0.19,605.0,6.05,0.17947196677543756,215.0,2.15,0.06377929397804806,240.0,2.4,0.07119549095223969,692.0,6.92,0.20528033224562445,413.0,0.12251557401364581,0.24646572419311816,0.20672179247799413
26,26,Bush - Speech28 - Edited.txt,16/12/1989,1989-12-16,323,2447876.5,0.3017492711370262,2058.0,621.0,531.0,20.889908256880734,7.0,2.0,67.0,0.0,1.0,106.0,109.0,30.0,98.0,9.0,216.0,9.0,0.0,222.0,102.0,2.0,2.0,62.0,186.0,134.0,10.0,74.0,1.0,3.0,217.0,17.0,127.0,7.0,1.0,8.0,68.0,3.0,126.0,45.0,37.0,53.0,119.0,47.0,9.0,9.0,6.0,1.0,1.0,0.0,1,1975,46.64,65.37,38.78,66.05,18.29,18.53,88.15,58.13,17.52,10.28,4.61,3.44,0.86,0.71,0.66,7.24,6.99,13.57,10.99,4.71,7.24,2.23,20.0,3.59,1.92,0.86,0.71,2.08,4.96,3.54,1.42,0.46,0.2,0.2,10.08,0.0,0.1,0.0,0.81,13.67,3.7,1.32,2.73,2.48,1.27,3.59,2.68,1.67,0.76,0.25,0.71,0.1,0.1,0.0,0.51,9.97,4.25,1.32,3.04,1.52,0.56,3.59,12.81,1.97,10.84,2.03,6.68,2.23,2.53,0.41,0.41,0.61,0.05,0.1,0.46,0.0,0.0,0.25,0.2,0.0,16.05,5.92,5.37,0.2,0.41,0.1,0.0,1.06,0.1,2.78,0.0,0.1,404.0,4.04,0.19630709426627793,106.0,1.06,0.05150631681243926,135.0,1.35,0.06559766763848396,427.0,4.27,0.20748299319727892,234.0,0.11370262390670553,0.2639578163771712,0.22766749379652607
27,27,Bush - Speech29 - Edited.txt,21/12/1989,1989-12-21,328,2447881.5,0.2850838481906443,2266.0,646.0,563.0,19.12878787878788,12.0,3.0,91.0,0.0,2.0,118.0,132.0,51.0,95.0,11.0,251.0,14.0,0.0,242.0,123.0,2.0,4.0,46.0,227.0,83.0,5.0,69.0,1.0,5.0,232.0,24.0,161.0,3.0,0.0,17.0,80.0,5.0,147.0,68.0,39.0,54.0,103.0,77.0,8.0,14.0,10.0,2.0,0.0,0.0,1,2130,37.15,67.21,39.41,56.82,16.14,15.96,88.64,60.7,18.12,10.19,3.8,2.91,1.31,1.41,0.75,7.93,7.32,13.85,12.54,5.59,7.98,2.49,21.41,2.72,1.64,1.31,0.66,1.92,4.6,3.05,1.41,0.28,0.8,0.14,10.52,0.14,0.0,0.19,1.46,12.77,2.77,1.36,1.78,3.15,1.36,3.99,1.78,0.61,0.66,0.52,0.94,0.05,0.75,0.09,0.05,9.53,3.8,0.8,3.47,1.5,0.85,5.92,13.62,1.83,12.02,2.35,6.57,3.43,2.3,0.19,0.0,0.47,0.0,0.38,0.66,0.0,0.0,0.33,0.33,0.0,19.72,6.29,5.54,0.42,0.28,0.23,0.0,2.11,0.19,4.55,0.0,0.09,384.0,3.84,0.16946160635481025,129.0,1.29,0.05692850838481906,164.0,1.64,0.07237422771403354,488.0,4.88,0.21535745807590467,256.0,0.11297440423654016,0.2635958395245171,0.224962852897474
